Feature,Coefficient
Outdoor Hum.Min(%)_lag21,-0.0019329205372336242
Wind speed(Hour)(km/h)_lag212,-0.001381251215928209
Wind speed(Hour)(km/h)_lag205,-0.0010748267902532687
Rainfull(Day)(mm)_lag300,-0.0010459563206171407
Wind speed(Hour)(km/h)_lag206,-0.0007674748348135496
Rainfull(Day)(mm)_lag299,-0.0006805662980570557
Rainfull(Day)(mm)_lag296,0.0006152826896620544
Rainfull(Hour)(mm)_lag302,-0.0002938348709384755
Rainfull(Day)(mm)_lag298,-0.0002438261111274301
Rainfull(Day)(mm)_lag297,0.00018941689014363673
